userName,content,score,at
Sartuna Sartuna,"Aplikasi bagus, sangat membantu para pengguna",5,2023-05-28 13:18:45
Yumnaafida Khansyah,Aplikasinya bagus dan mudah untuk digunakan,5,2023-05-28 13:15:41
Sherly Rumaka,Aplikasi MyIndihome sangat membantu dengan fitur-fitur yg memudahkan dalam pembelin paket baik minggu atau pertahun. Serta pelayanan yang terbaik walaupun online,5,2023-05-28 13:15:41
Minjiexxy,"Melihat fiturnya dan fasilitas lainnya, aplikasi myIndiHome ini bermanfaat, isinya cukup menarik, tampilannya juga oke, gak lemot pula saat digunakan. Aplikasi ini memang sangat mempermudah kegiatan yang berhubungan dengan internet, dan memiliki layanan yang bisa dijangkau dengan mudah. Memang Indihome terbaik",5,2023-05-28 13:10:17
Jariah,"Aplikasinya mudah untuk digunakan, kalau mau bayar tagihan gak perlu keluar rumah cukup dari aplikasinya langsung",5,2023-05-28 13:01:13
Dian Gilang Wibowo,"Aplikasi ini sangat bagus dan rekomended, aplikasi ini tidak bikin bingung dan sangat mudah digunakan jadi untuk kalian yang ragu memakai aplikasi ini karena bingung dan sulit nah aplikasi ini sangat mudah digunakan, jika kalian menggunakan pelayanan di aplikasi ini pelayanannya sangat bagus dan fast respon, ramah, kemudian banyak fitur² yang bisa digunakan didalam aplikasi ini pokoknga cocok dah untuk kalian yang ingin menggunakan aplikasi ini",5,2023-05-28 12:51:10
Baso Asriadi,Puas,5,2023-05-28 12:15:50
Nur Hayati,Kecewa dengan layanan indihome terlalu bertele2 dan lama . Tidak saya sarankan untuk menggunakan pelayanan indihome yg terlalu lama dan bertele2 . Saya di janjikan pemasangan dari jam 11 siang sampe jam 8 malem tapi kenyataannya di suruh menunggu sampai besok .,1,2023-05-28 12:15:09
setia budi,Puas,5,2023-05-28 12:12:15
Dvya Berrynca,"aplikasi myIndiHome mudah buat digunakan dan sangatt membantu, ga perlu ribet keluar rumah buat bayar tagihan IndiHome lagi, sering dapet promo juga dari myIndiHome",5,2023-05-28 11:55:26
siomai,"aplikasinya berjalan cepat, tanpa gangguan, pelayanan myindihome juga fastrespon, kalo jaringan kita sedang gangguan myindihome lgsg menindaklanjuti, top",5,2023-05-28 11:44:27
Zahro Natasya,"ga beratt di hp, mudah di akses ga ribet, cepet juga penanggapannya",5,2023-05-28 11:10:49
Tengku Yudo,Aplikasi sering diupdate gak bisa buat pengaduan dll,1,2023-05-28 10:52:49
Bajingan Tungkak,"aplikasi myIndihome sangat recommended, fitur2nya sangat berguna",5,2023-05-28 10:36:23
PLC TOTO,Myindihome semakin kesini semakin luarbiasa performa nya. Sudah banyak perubahan yg lebih baik. Terus memberikan pelayanan yg prima dan tambah maju,5,2023-05-28 10:31:01
ANDROID TUTORIAL,Mantap sangat baik pelayanan indihome dan sangat kencang dan stabil jaringan internet nya,5,2023-05-28 10:20:50
Sekiman Gunawan,"App ini sangat menguntungkan, karna sering dpt penawaran menarik, kalau ada pengaduan juga cukup mudah tinggal chat ajaaa, good app dehh",5,2023-05-28 10:17:05
Caseyathena 1,Aplikasi lambat. Bukan masalah hp ato sinyal. Tp emang buat ke halaman awal aplikasi aja loadingnya muter lama,1,2023-05-28 10:15:23
Asyela,"Rekomended, udah hampir setahun pake indihome jarang banget lag. Aplikasinya mudahin buat pembayaran, bagusnya lagi bisa dapet point buat ditukar ke voucer😍",5,2023-05-28 10:13:55
okta fety astari,"Aplikasi yang sangat recommended. Banyak sekali fitur-fitur yang bermanfaat dan sangat memudahkan dalam pemakaiannya , good job",5,2023-05-28 10:10:25
Fani Rose,"Aplikasi myindihome sangat membatu saya. Dalam aplikasi ini saya bisa menambahkan speed wifi saya dan sejak memakai indihome, saya memiliki channel tv dan konten lebih banyak dan seru.beharap indihome kedepan nya terus stabil dan makin jaya🫶🏻",5,2023-05-28 10:05:40
Riko Renaldi,"Aplikasi yg sangat membantu untuk pengguna baru, sangat rekomendasi sekali teman2 kalau ingin menggunakan wifi pilih aja indihomee",5,2023-05-28 10:04:23
Dhea Putri,"Banyak program menarik yang memudahkan penggunanya, tampilan sederhana dan mudah dimengerti. Namun pelayanan dapat lebih ditingkatkan lagi",5,2023-05-28 10:02:51
Fira Sagita,aplikasi myIndihome ini sangat membantu sekali👍,5,2023-05-28 10:02:35
HULUBALANG JUNJUNG NEGERI Kec. Meral,Pemasangan sangat cepat dan transparan,5,2023-05-28 09:53:39
Ganda Ganda,"Indihome keren si, fiturnya mudah di mengerti, sejauh ini masih aman lah.",5,2023-05-28 09:45:50
Bambang Orbantoro,"Bagus sekali aplikasinya, banyak promonya juga, tampilan aplikasi sangat simple gak bikin bingung pengguna top banget",5,2023-05-28 09:34:14
Henis Wati,"Kalo di aplikasi banyak banget promonya, penjelasan promonya juga mudah dipahami. Suka banget aplikasinya sangat informatif sekali selain itu fitur""nya banyak banget bagus banget deh",5,2023-05-28 09:25:14
Mb Nina,Sinyalnya kuat dan untuk biayanya juga tergolong murah jadi rekomended banget pokoknya,5,2023-05-28 09:13:08
Sekar Ardani,"aplikasi ini sangat membantu buat ngontrol tagihan. apalagi fiturnya gampang bgt dipahami. bisa juga buat cek status jaringan, riwayat penggunaan data, perangkat yg terhubung,dll. terimakasih Indihome sudah banyak membantu",5,2023-05-28 09:08:46
mohtaden den,"Saya tuh bayar buat pakai wifi indihome, tapi sinyal kaya saya ngutang aja sinyal lemoooot",2,2023-05-28 08:57:47
nabcay 1606,"Aplikasi nya sangat bagus dan cepat, bisa untuk bayar jugaa",5,2023-05-28 08:55:46
Vini Fandreyan,"Jaringan indihome skr sudah membaik loh guysss, aku sampe skr dirumah masih pake jaringan wifi ini, promonya juga menarik bgt kalian harus wajib pake indihome, pelayanannya pun sangat mudah di cerna.. Wifi rekomendasi dari aku pokoknyaa",5,2023-05-28 08:47:12
Rizky Ahmad Rifai,aplikasinya mudah digunakan dan sangw membantu para pengguna indihome,5,2023-05-28 08:38:36
Bang Bross,Apk myindihome sangat bagus dan berguna. Tampilkan mudah dipahami dan cs sangat ramah,5,2023-05-28 08:37:55
JODY ITSUKA,"selalu muncul peringatan jaringan diisolir , sangat mengganggu . Dan tidak bisa mengganti password WiFi secara manual :(",1,2023-05-28 08:26:22
Eva Rifaila,"Aku sbg pengguna baru IndiHome seneng bgt pke apk ini, krn banyak fitur yg sangat membantu kita apapun jdi lebih mudah dan cepet bgtt. Mulai dr cek tagihan smpe laporan klo ada gangguan serba satsetsatset sukaa bgt pokoknya 👍🏻",5,2023-05-28 08:25:22
Mbk Trie,"Aplikasi myIndihome sangat membantu sekali , mudah digunakan dengan aplikasi ini bisa memantau sinyall, riwayat penggunaan data dll. Pokoknya recommended dehhh 👍",5,2023-05-28 08:10:05
Mujiriadi official,Mudah mengontrol semua penggunaan WiFi Saya,5,2023-05-28 07:42:08
Narindaa R,"Aplikasinya mudah digunakan ,sangaat bagus ,recomended",5,2023-05-28 07:42:05
Creator Bhollywood,Baru di coba masih bingung masuk kan nomer indihome nya.,5,2023-05-28 07:10:49
abang ayas,Iy aj dah,5,2023-05-28 06:49:43
Refki jambak,"Terimakasih myindihe, benar benar membantu saya dalam untuk pengurusan IndiHome dan juga biaya bulanan murah😍",5,2023-05-28 06:29:32
Medi Subakir,Mudah mengganti pasword wifi,5,2023-05-28 05:41:43
hetik property,sering trouble... ditempat Q jaringannya kalah sama yg per bln cm 150 RB.😭,2,2023-05-28 05:35:24
Najla Hajidah,Aku user myindihome udah lama dan seneng bgt baru tau ada apk nya krn sangat membantu fitur2 nya baguss,5,2023-05-28 05:35:05
Siswoko Sis,"Saya sudah lama pakai aplikasi myindihome, update kali ini membuat aplikasi ini makin baik dengan tampilan yang makin menarik.",5,2023-05-28 05:27:21
Wann Gaming,Bagus internetnya rekomended,5,2023-05-28 05:21:32
Abah Cirebon,"Suka bgt dibuat apk nya, good job team myindihome, user myindihome sangat terbantu dgn adanya aplikasi ini",5,2023-05-28 05:12:44
kalila masita,"Aplikasinya keren banget, banyak fitur menarik yang membantu saya sebagai pengguna indihome",5,2023-05-28 04:29:06
Happy Py,"Responcepat, bisa request pengaduan hanya melalui aplikasi , dan lamgsung selesai👍",5,2023-05-28 04:15:42
Harlina Lina,"Aplikasinya mudah digunakan, banyak fitur menarik terutama pantau teknisi jadi ga perlu repot2 lagi hanya pantau lewat aplikasi.",5,2023-05-28 04:14:52
Dimas,sebagai pengguna indihome saya sangat terbantu dengan aplikasi myIndiHome. terutama UI nya yang sangat menarik bikin betah buat utak atik aplikasinya 😁,5,2023-05-28 04:02:37
Didik Widiharso,"Bagi saya yang mager sana sini, adanya aplikasi ini sangatlah membantu, good 👍, hanya perlu sedikit penyesuaian dari segi tampilan dan top up nya. Saya kasih 5 bintang. Soalnya sudah sangat membantu saya. Semoga bisa di kembangkan lagi agar pengguna lebih mudah dalam menggunakan aplikasi.",5,2023-05-28 03:33:19
Stefunny Icha,"Wahh bagus bangett Indihome, program programnya sangat menarik dan terupdate jugaa lancarr juga recommended nihh bagi kalian semua",5,2023-05-28 03:23:53
rain,"Aplikasi ini sangat membantu sekali, apalagi sebagai pemakai layanan indihome. Tampilan aplikasi juga bagus dan menarik, sehingga mata tidak jenuh saat memakai aplikasi",5,2023-05-28 02:57:53
Nikmah Nik,Aplikasinya membantu bgt buat ngecek layanan indihome rekommended deh pkoknya,5,2023-05-28 02:49:30
Raa Cisely,"aplikasinya bagus banget buat langganan indihome aktivasi OTT Video Streaming melaporkan gangguan layanan IndiHome, cek tagihan, serta layanan menarik lainnya.",5,2023-05-28 02:38:03
Heri Cardio,Good,5,2023-05-28 02:35:53
Sultan AdjiBayanaka,Bagus,5,2023-05-28 02:35:43
Galon Air,"Memiliki banyak promo yang menarik, tampilan mudah dipahami dan mudah digunakan, terimakasih Indihome",5,2023-05-28 02:29:32
Shafiyah Alfira,"aplikasiny bagus sekali, sangat mudah untuk di gunakan , rekomend bnget deh",5,2023-05-28 02:19:03
Bocil Edan,"App nya sangat memudah kan kita kalau ada masalah sama internet indihome, dan lainnya, dan juga gampang untuk melaporkan via my indihome, pokoknya sangat puas dengan adanya apps myindihome",5,2023-05-27 19:14:40
Jamaludin Gr,Bagus,5,2023-05-27 18:50:22
Suka Jalan,Untuk sekelas Indihome Buka aplikasi nya aja lelet banget,1,2023-05-27 16:56:03
Cheppy Buncit,Pelayanan udah baik. Keluhan apapun selalu di respon. Makasih saya sudah di kasih free set top box selama menjadi pelanggan 1th ini.,5,2023-05-27 14:55:16
Dian Puspitasari,Jangan percaya indihome lgi...disaat mau pasang aj perugas sok baik sok ramah slalu denger kompinan org...tpi disaat akn pemindahan petugasnya sok budek semua gk mau denger keluhan org..mna ada pemindahan wifi sampe 10 hari cma gtu² aj tanpa ada proses....punya nma tpi nma gk jga utk kenyamanan pelanggan...,1,2023-05-27 14:51:31
Leroy Sane,Aplikasi tolollll pakai jaringan sendiri malah di bilang error koontol emang,1,2023-05-27 14:40:51
Heru Budi Hermawan,"Aplikasinya mudah di akses, dan informasi yg diberikan sangat membantu.",5,2023-05-27 14:16:45
roy arifianto,Oke sih...krn blm pernah coba selain indihome..,5,2023-05-27 13:42:40
Genta DF017,Apk ini sangat berguna banget sangat membantu saya,5,2023-05-27 13:39:13
Adam Nasir,Provider internet pertama dan selalu menjadi yang terbaik menurutku.Jaringan stabil dan menjangkau sampai ke pelosok kampung2 customer servis tanggap dalam melayani keluhan atau complain jika ada gangguan cukup melalui aplikasi saja sudah bisa dan cepat penyelesaiannya semoga kedepan selalu menjaga kepuasan pelanggan setia Indihome...Bravo Telkom,5,2023-05-27 13:36:14
Nurjaman Pelitawan,Pelayanan bagus,5,2023-05-27 13:20:54
Sumaji,Mantabbb dahhh harga mahal dkit tpi puas,5,2023-05-27 13:20:06
Zaenal Arifin,Suka,4,2023-05-27 13:19:13
Shinta Khairunisa,Aplikasinya bagus dan sangat mudah dipakai,5,2023-05-27 13:16:35
Everything on Tiktok,"Aplikasi nya bagus, sangat membantu dan mudah untuk menggunakan nya",5,2023-05-27 13:10:39
Bambang Sukijo,"Aplikasi mudah di gunakan dan tidak membingungkan, bisa langsung transaksi melalui aplikasi juga",5,2023-05-27 13:03:13
agus,"Aplikasi myIndiHome versi terbaru gampang banget buat registrasi layanan IndiHome. Ada banyak fitur menarik kaya beli paket internet mingguan, bulanan, atau paket gaming khusus buat game. Kirim laporan gangguan wifi bermasalah udah nggak harus antri di cabang telkom, cukup kirim laporan lewat aplikasi juga dah jadi tinggal nunggu teknisi datang ke rumah untuk mengatasi masalah pada wifi, mantap.",5,2023-05-27 12:31:42
Adam Maulana,good job,5,2023-05-27 12:09:34
Riska Tyara,Aplikasinya berguna banget untuk para user Indihome. Aku dan keluarga ngga akan khawatir ketinggalan tanggal tagihan dehh,5,2023-05-27 12:04:42
NISWAR PIKO,"Teknisi garcep,datang sebelum waktu di tentukan.",5,2023-05-27 11:42:05
Masrahim,Good job,5,2023-05-27 11:09:16
Monica Alizya,Indihome kenapa yaa tiap akhir bulan lemot nya bukan maen ?? padahal bayar gak pernah telat,1,2023-05-27 11:01:02
mawar merah,Good,5,2023-05-27 10:59:06
Anas Nasrulloh,perbaikan cepet .. terimakasih Indihome,5,2023-05-27 10:52:43
Entis Sutisna,mempermudah untuk mengontrol wifi dirumah,5,2023-05-27 10:45:24
Ambang Ujianto,Sangat puas,5,2023-05-27 10:41:12
Edwin Firmansyah,kecepatan tidak sesuai dgn paket,2,2023-05-27 10:39:25
Harry Setiawan,Sering gangguan parah,3,2023-05-27 10:23:59
Rika Hapsari,"Aplikasinya bagus, sangat membantu,",5,2023-05-27 10:19:44
Bambang Triyanto,mantap,5,2023-05-27 09:52:05
riska aprilia,fitur aplikasinya sangat mudah dipahami bagi saya sebagai pengguna baru. sangat membantu saya untuk memantau wifi rumah...,5,2023-05-27 09:49:26
Choa Ricky,"Kenapa wifi indihome lelet sekali, giliran tagihan di mintain terus, jaringan lelet di biarin aja",1,2023-05-27 09:47:13
Nur Afni,untuk sementara ini aplikasi ok sii,5,2023-05-27 09:46:27
Res Vires,"Aplikasinya bagus, mempermudah buat akses layanan indihome, ga perlu ribet lagi harus dateng ke kantor, banyak promonya lagi. Mantap deh, sukses terus buat indihome!!",5,2023-05-27 09:35:58
kamaluddin,Wifi sering tdk terkoneksi..d mohon d aktifkan,1,2023-05-27 09:22:52
Rusdi Alzekli,Ok,5,2023-05-27 09:13:01
Dahlan Rima,"Dari awal sy pasang Indihome, sy juga instal aplikasi myindihome supaya mudah memntau pembayaran paket bulanan, aplikasi indihome mudah,terpecaya dan akurat, semoga myindihome kedepan semakin banyak kemajuan",5,2023-05-27 08:56:22
Hans Otto,Sering terjadi gangguan massal dan lama penanganannya,5,2023-05-27 08:45:19
Muhammad Rafly Romeo Nasution,"aplikasinya sangat membantu, dan sangat mudah di pahami bagi pemula. dan apk my IndiHome bisa membantu memantau tagihan, berapa besar pemakaian wifi dan dapat mengajukan keluhan ke customer service dn sangat fast respon juga 👍🏻",5,2023-05-27 08:45:00
Fernando Hendrawan,"Bagus banget aplikasinya, bisa ngecek dan bayar tagihan IndiHome terus dapat promo2 juga",5,2023-05-27 08:37:10
Tita Sela Kosasih,"Apilikasi mudah digunakan, fitur-fitur yang mudah digunakan. Sangat nyaman dalam menggunakan apilikasi ini. Dan apk ini memudah dalam koneksi internet",5,2023-05-27 08:25:27
Dini Villa,"Gimana login ga bisa,wifi gangguan terus,mekanik nya ga datang""",1,2023-05-27 08:13:22
Dhaffanero,"Aplikasi ini bagus banget, wajib download sih. Dan juga cocok buat kalian yang pake indihome atau yang mau masang indihome. Fitur nya lengkap, dan kalau ada masalah bisa lapor disini dan layanannya nya sangat bagus. Yuk download MyIndiHome.",5,2023-05-27 08:13:12
Arif Widodo,Ok,5,2023-05-27 08:05:33
Vanessa Elly,"Fiturnya banyak, menunya mudah dipahami. Jarang ngebug juga. Pokoknya mantap deh bisa cek semua kebutuhan wifi lewat HP doang.",5,2023-05-27 07:24:09
Ripal Aprianto,"Selama pake aplikasi ini sangat sangat membantu di saat ada kendala, penanganannnya fast respon, tampilannya sederhana dan fiturnya tidak terlalu ribet jadi mudah di mengerti, banyak promo juga, pokoknyaa recommended bangett dehh...",5,2023-05-27 07:13:29
adi susanto,Semakin bagus. benar² menjadi 'Aktivitas Tanpa Batas',5,2023-05-27 07:11:47
Nur Janah,"Tampilannya simpel, menu nya gak amburadul jadi mudah dimengerti. Gak ribet buat mantau koneksi sama cek tagihan. Top deh bintang 5",5,2023-05-27 07:10:50
Achmad Fajar,"Berguna, pengaduan dan layanan jadi lebih simple",5,2023-05-27 07:06:51
Antonia Rei Kusuma,"Aplikasinya bagus saat pertama kali download eh fiturnya lengkap banget. Cocok banget buat pemulaa yang ingin menggunakan wifi, pelayanan juga sangat fast respon",5,2023-05-27 06:58:53
VOLiS Official,"Lemot parahhh, engga aplikasinya, engga providerny",1,2023-05-27 06:47:44
Angger pringgo Surya dilaga,"Aplikasi ini sangat bagus, mudah digunakan dan amat sangat membantu Terima kasih my Indihome",5,2023-05-27 06:29:44
Entin Sukartini,Oke banget sangat membantu,5,2023-05-27 06:26:22
Prita Wulan,"Aplikasi nya ngebantu banget, petunjuk nya juga pas jadi mudah di pahami, semoga selalu di tingkatkan kualitas nya",5,2023-05-27 06:25:49
Riyan SM,Masih wort it dalam segi koneksi dan kecepatan nya,5,2023-05-27 06:10:57
Levina Aurellia,Fiturnya mudah dipahami dan ga ribet,5,2023-05-27 06:08:51
arif hakim,Keluhan di respon dengan cepat,5,2023-05-27 05:54:36
Parabola sukorejo Kendal (085365874042),Puas sekali,5,2023-05-27 05:50:12
Aziza Nur Adha,"App ny sangat membantu saya dalam memilih paket langganan, fitur ny bagus dan mudah dimengerti",5,2023-05-27 05:49:18
Bunga Nadila,"Apk nya berjalan lancar si, tampilan ui nya juga mudah dimengerti, lancar selalu.. mantap",5,2023-05-27 05:48:20
Asry Store,"Mempermudah pelanggan banget buat tau besar penagihannya jadi bisa di manage uang rumah tangga sebaik mungkin, rekomen abis",5,2023-05-27 05:44:37
Albar Batubara,Ok mantap,5,2023-05-27 05:39:38
Bella Anastasha,Aplikasinya mudah dimengerti dan digunakan. Tampilannya simpel gitu jadi ngga bikin pusing dan bingung,5,2023-05-27 05:28:06
wirdan el madrid,Aplikasi yang bagus dan sangat membantu karena fiturnya mudah dipahami selain itu juga pelayananya sangat baik,5,2023-05-27 05:26:57
Clara Amalia,Aplikasinya sangat mempermudah pengguna indihome. Jadi lebih gampang gitu liat tagihan. Atau kalo ada masalah bisa langsung komplen. Praktis pokoknya deh. Mantap,5,2023-05-27 05:24:54
Andrea Khansa,"Sangat berguna dan membantu, aplikasinya lancar dan mudah di akses. Tampilan aplikasi nya pun enak di lihat",5,2023-05-27 05:23:26
novia syukma,"Sebagai pengguna indihome, sangat terbantu dengan adanya aplikasi ini. Simple dan mudah digunakan. Apalagi info mengenai kendala koneksi WiFi. me-restart modem sendiri udah kayak teknisi wkwk .. thanks myIndihome",5,2023-05-27 05:20:31
Risa Ammera,baguss sinyalnya disini stabil🥰,5,2023-05-27 05:19:03
KamiBerdua,"Aplikasi ini sangat membantu dan sangat mudah di pakai,dati fitur nya sangat mudah di pahami,dan sangat mempermudah mengendalikan lewat android, sangat relevan untuk di coba.",5,2023-05-27 05:13:13
Zarin Syaura,aplikasi ini sangat membantu sebagai pengguna indihome👍 pemakaian lancar ga ada kendala dan mudah dimengerti fiturnya. sukses terus buat developer!,5,2023-05-27 05:02:31
Realme Ptk,Memudahkan dalam membayar tagihan indihome,5,2023-05-27 04:55:52
Piter Sinambela,Keren bangett! Fiturnya membantuu,5,2023-05-27 04:52:19
Aya Cute,"Aplikasinya sangat membantu pengaturan wifi. Apalagi udah tambah fitur layanannya, jadi sangat bermanfaat",5,2023-05-27 04:50:28
Muhammad kaizar Azis,Tampilan nya bagus dan mudah dimengerti serta banyak penawaran spesial,5,2023-05-27 04:45:39
Marli Nababan,Aplikasinya sangat membantu dan mudah dipahami,5,2023-05-27 04:44:48
Iman Rudini,Sangat membantu,5,2023-05-27 04:43:36
Muhammad Alan,"Mantap sih, udah lama pakai Indihome dan jarang banget ada masalah, sekalinya ada cepet penyelesainnya",5,2023-05-27 04:35:21
Ndah Saidah,"Daftarnya mudah gak ribet, fitur fiturnya juga mudah dipahami",5,2023-05-27 04:31:15
Sajida Syaa,Aplikasi MyIndihome sangat mudah digunakan. Banyak fitur yang berguna,5,2023-05-27 04:18:00
Dhandy Maristama,Cek tagihan dan lihat promo semua bisa di aplikasi myIndiHome.,5,2023-05-27 04:09:01
Arfiandi Muhammad,Mantap,5,2023-05-27 04:00:59
annisa amanda,"Aplikasinya sangat membantu banget ,fiturnya juga mudah dipahami ,apliaksinya lancar nggak banyak bug ,mempermudah untuk memantau koneksi wifi dirumah",5,2023-05-27 03:56:58
Fahima Sumayyah,"Dengan aplikasi ini saya bisa kontrol lebih banyak, id langganan, super mudah dan sangat membantu tanpa harus ke gerai telkomsel, bahkan sambil baringpun semua administrasi selesai",5,2023-05-27 03:36:24
Anjai Alokqiu,Aplikasi nya bagus banget paketnya murah2 dan indihome jaringannya luas sekali,5,2023-05-27 03:29:09
Firman Abdat,Aplikasi jelek sekali...,1,2023-05-27 03:12:20
dhira nium,"saya sudah lama pake indihome di rumah, dan myindihome ini saya gunakan untuk optimalisasi wifi saya di rumah agar tidak terjadi gangguan, mempermudah buat ganti password juga, selain itu jadi mudah misal nambah paketan kalo sudah habis sebelum waktunya..bener-bener banyak manfaatnya",5,2023-05-27 03:02:35
Alfiansyah Raasyid,Aplikasinya sangat membantu,5,2023-05-27 02:57:20
Ozi Satria Nanda,"Aplikasinya payah, mau login aja susah",1,2023-05-27 02:50:51
Rini Adzkiya Mecca,Klo ada gangguan cepat ditanggapi. Terima kasih. Semoga selalu membarikan kepuasan bagi pelanggan.,5,2023-05-27 02:35:15
Anita rahma,Aplikasinya bagus Smooth lancar uinya mudah di pahami untuk layanan nya juga mantep saran untuk pembayaran nya di tambh qris biar lebih mudah buat bayarnya tanks,5,2023-05-27 02:28:16
Fathur Rizqy,"Mau berhenti harus pakai alamat pada saat pemasang (gpp) yg masalah di daftar akun saya gak tertera alamat yg sudah saya daftarkan, saya kasih alamat saya malah harus akurat alamat nya, pas di cek malah gk tertera di app nya jadi gimana???? , solusinya di suruh ingat ( mana ingat lagi udah 2 tahun lbih)",1,2023-05-27 02:13:46
Ahmad Setiawan,"ini aplikasi nya kece banget si ga perlu diragukan lagi😭💗 fitur-fitur nya lengkap banget, mana tampilan nya super kece abiss. cinta banget deh sama apk ini.",5,2023-05-27 01:51:15
Obayy Satriaa,Aplikasi ini membantu banget deh yang masih pengguna baru karena dapat memudahkan ku aplikasi nya recomended banget ga nyesel donlod,5,2023-05-27 01:49:18
Adi Setiawan,"Aplikasinya mudah digunakan simple tidak membingungkan pelanggan,pelayanan lumayan, semoga lebih baik lagi jaringannya.",5,2023-05-27 01:23:50
Dino Aldino,"Aplikasi sangat rekomendasi,sangat jelas dan tidak ribet setiap pembayaran perbulan akan mendapatkan poin yang bisa dikumpulkan dan ditukarkan,sangat mudah dipakai, kualitas sangat kuat,tidak ngelag²,wajib dipakai sih.",5,2023-05-27 01:14:33
Addha Gg,"Kelebihan: Experience dari app ini bagus, tampilan Ul mudah dimengerti, mempermudah pelayanan di provider ini.",5,2023-05-27 00:54:51
Cadangan Cantik,Aplikasinya sangat membantu sekali cocok buat masang wifi dirumah walaupun sedikit kendala sinyal tapi suka bangett kadang lancar sangat penggunaan yg lainnya,5,2023-05-27 00:46:06
Engpau,mudah tapi apliksi masih lelet,4,2023-05-27 00:34:12
gundulisaurus,"Aplikasinya lemot, begitu juga layanan internetnya, tidak stabil, dan sering putus, speed tak pernah maksimal.",1,2023-05-26 21:43:10
rudhy gondrong,💟💕,5,2023-05-26 20:04:52
kamal udin,"Niat kaga sih bikin jaringan??bikin emosi doang,gw pake indihome karna provider lain blm bisa pasang,gw rasa kalau provider lain bisa pasang di all daerah ini bangkrut dah",1,2023-05-26 17:08:55
Mohammad Nurul Azmi,Semakin lemotttttttttttt,1,2023-05-26 17:08:43
Pak Sela Poenya,Semoga semakin cepat,4,2023-05-26 15:29:58
Muh. Aqsath HADZAMI,Aplikasi sangat membantuu,5,2023-05-26 15:28:18
mochamad sampurno,Sangat puas,5,2023-05-26 15:19:20
Cindy Anastasya,"Aplikasi ini membantu banget, fiturnya mudah digunakan. Informasinya detail dan nggak ribet",5,2023-05-26 15:18:49
Geby Husriyanti,Good jdi mempermudah banget,5,2023-05-26 14:43:59
Ridwan Abdul Mujib,"Sangat terbantu adanya aplikasi ini terutama saya sebagai pengguna wifi indihome, bisa cek tagihan, siapa aja yang terhubung di wifi, melihat pemakaian internet dan juga yang paling enak itu menambah kecepatan dengan hanya satu klik auto kenceng tidak hanya itu jika ada kendala bisa langsung melakukan pengaduan via aplikasi. Sudah 3 tahun berlangganan gak pernah gangguan pokoknya lancar jaya. Sukses terus telkom, sukses terus BUMN",5,2023-05-26 14:20:09
Tri widhi Widodo,Internet cepat dan stabil,5,2023-05-26 14:15:51
tesha juliana,Terima kasih,5,2023-05-26 13:49:54
Imelda Amellia,ADVAN START-67124F,5,2023-05-26 13:08:49
Aldila Hasna,Aplikasi tololl,1,2023-05-26 12:40:19
abdul mastur,Aplikasi lemot ga punya server bagus kah? Atau tim IT nya kurang ngerti cara bikin app yg bagus,1,2023-05-26 12:26:39
ZenQ Channel,"Selama saya menggunakan aplikasi myIndihome merasakan manfaatnya besar dan terbantu sekali ketika jaringan internet dirumah saya alami gangguan, saya tinggal melapor melalui aplikasi ini dan beberapa saat kemudian petugas menghubungi saya untuk penanganan lebih lanjut, begitupun juga untuk pembayaran tagihannya mudah dan praktis. Terima kasih, semoga fiturnya semakin inovatif.",5,2023-05-26 12:18:56
Aminah armesco,Aplikasi sangat bagus dan membantu sekali. Bila ada gangguan lapor lewat aplikasi myindihome past respon langsung dapat tiket laporan dan dihubungi oleh pihak Indihome.,5,2023-05-26 12:09:19
DUNBO,Percuma ada menu laporan kalo tulisanya selalu perbaikan terus,1,2023-05-26 12:03:16
Ryan Mutasyim,Mantaap sangat membantu,5,2023-05-26 11:52:09
Denis Setiawan,sangat berguna dan midah digunakan,5,2023-05-26 11:51:21
Ismail Marzuki,Sudah 3th pake indihome. Puas,5,2023-05-26 11:49:20
Rerejuna craft Workshop,"Sangat puas, tanpa was2 habis kuota, emak senang anak senang😊",5,2023-05-26 11:43:48
Sahrul Ramdani,Sangat membatu sekali,5,2023-05-26 11:35:17
Fuad Hasan,Mantabbbbbbb dan Luar biasa pokok nya untuk Indi Home,5,2023-05-26 11:28:29
Windi Dian,"susah banget buat login kadang jaringan gak ada lh,lagi diperbincangkan,error'",1,2023-05-26 11:20:26
Aidil Harahap,"Internet super kencang anti lelet, bayarnya murah makainya puas. Rekomendasi untuk kalian yang butuh internet stabil dan jarang ada gangguannya.. Salam anak Medan",5,2023-05-26 10:57:28
Anggara Purwadiansyah,cukup mudah cuma aplikasi lemot,5,2023-05-26 10:52:47
Anggit Setyo,"Memudahkan dalam pemantauan tanggal bayar, dan banyak fitur bagus yang bisa digunakan",5,2023-05-26 10:42:12
Yang Lek,"apk nya sangat membantu, dan pelayanan ramah. aku suka banget",5,2023-05-26 10:39:03
Octavianus SG,"myIndihome adalah aplikasi yang sangat membantu dan memudahkan saya dalam mengatur layanan Indihome saya. Dengan antarmuka yang intuitif dan fitur lengkap, saya dapat dengan mudah memeriksa tagihan, mengubah paket layanan, dan mengelola jadwal teknisi. Selain itu, pelayanan pelanggan yang responsif membuat pengalaman saya semakin baik. Saya sangat puas dengan kualitas aplikasi ini dan dengan senang hati memberikan rating 5 bintang untuk myIndihome!",5,2023-05-26 10:17:27
